grid,context,datetaken,datetakengranularity,datetakenunknown,description,farm,geo_is_contact,geo_is_family,geo_is_friend,geo_is_public,height_n,id,isfamily,isfriend,ispublic,latitude,license,longitude,owner,place_id,secret,server,title,url_n,views,width_n,woeid,keywords,,Venue Category
"16,3",0,2019/1/16 17:51,0,1,{'_content': ''},8,0,0,0,1,216,39864011413,0,0,1,48.888502,2,2.249125,35971282@N00,OZm8L3lUV7LeKWG5lw,6211943559,7814,La défense,https://live.staticflickr.com/7814/39864011413_6211943559_n.jpg,277,320,55863561,,,
"16,3",0,2019/1/16 17:51,0,1,{'_content': ''},8,0,0,0,1,216,46086556164,0,0,1,48.888502,2,2.249125,35971282@N00,OZm8L3lUV7LeKWG5lw,3aae5fb999,7808,La défense,https://live.staticflickr.com/7808/46086556164_3aae5fb999_n.jpg,211,320,55863561,,,
"16,3",0,2019/1/16 17:51,0,1,{'_content': ''},8,0,0,0,1,320,39864011683,0,0,1,48.888502,2,2.249125,35971282@N00,OZm8L3lUV7LeKWG5lw,215d9ecb3a,7869,Arc au fond,https://live.staticflickr.com/7869/39864011683_215d9ecb3a_n.jpg,243,216,55863561,"arch, bottom",,Landmarks and Outdoors
"2,11",0,2019/1/16 11:40,0,1,{'_content': ''},8,0,0,0,1,285,46037575054,0,0,1,48.895632,1,2.229731,24798158@N05,a_GJ6YVQUL.FYR2hzw,5b07066952,7859,La Défense Paris: Perspective architecturale sur l’arche de La Défense Photo prise devant l’Arena salle d’événements concerts et sports. 👍  Photo prise lors d’un stage photo « prise de vue smartphone »  2019 .  ...... Découverte de Paris .....  #,https://live.staticflickr.com/7859/46037575054_5b07066952_n.jpg,75,320,12523323,"architectur, perspect, arch, photo, concert, sport, event, hall, photo, smartphon, shoot, quot, photo, ......, discoveri, .....",,
"5,10",0,2019/1/14 11:57,0,0,"{'_content': 'Flowers at the cemetery of Neuilly, partially Paris and Nanterre territory.'}",5,0,0,0,1,320,46756337681,0,0,1,48.894746,0,2.233089,9619972@N08,LzRzkwBUV7J7uIalmQ,a4c1a2ca98,4889,Cimetière de Neuilly # 1,https://live.staticflickr.com/4889/46756337681_a4c1a2ca98_n.jpg,5895,213,55863459,cemeteri,,Landmarks and Outdoors
"5,10",0,2019/1/14 11:56,0,0,"{'_content': 'Espalier at the cemetery of Neuilly, partially Paris and Nanterre territory.'}",5,0,0,0,1,320,33006942608,0,0,1,48.894852,0,2.232724,9619972@N08,LzRzkwBUV7J7uIalmQ,800b9d8f53,4878,Cimetière de Neuilly # 3 Espalier,https://live.staticflickr.com/4878/33006942608_800b9d8f53_n.jpg,6868,213,55863459,"cemeteri, espali",,Landmarks and Outdoors
"5,10",0,2019/1/14 11:46,0,0,"{'_content': 'Homoerotic monument at the cemetery of Neuilly, partially Paris and Nanterre territory.'}",8,0,0,0,1,320,45886352135,0,0,1,48.894746,0,2.233089,9619972@N08,LzRzkwBUV7J7uIalmQ,d37acc905e,7869,Cimetière de Neuilly # 2,https://live.staticflickr.com/7869/45886352135_d37acc905e_n.jpg,26673,213,55863459,cemeteri,,Landmarks and Outdoors
"2,10",0,2019/1/14 11:40,0,0,"{'_content': 'Building at La Défense on Nanterre territory, just outside Paris, France.'}",8,0,0,0,1,213,31814555647,0,0,1,48.895254,0,2.229301,9619972@N08,a_GJ6YVQUL.FYR2hzw,ff8a5d9be8,7845,.,https://live.staticflickr.com/7845/31814555647_ff8a5d9be8_n.jpg,20861,320,12523323,,,
"7,7",0,2019/1/14 11:23,0,0,"{'_content': 'La Grande Arche de la Défense, &quot;The Great Arc of the Defense&quot;; also La Grande Arche de la Fraternité) is a monument and building in the business district of La Défense and in the commune of Puteaux.'}",66,0,0,0,1,213,48159300032,0,0,1,48.89244,0,2.236393,9619972@N08,,5076feb202,65535,La Grande Arche de la Fraternité (1985-89),https://live.staticflickr.com/65535/48159300032_5076feb202_n.jpg,4511,320,6457369,brotherhood,,
"7,7",0,2019/1/14 11:23,0,0,"{'_content': 'View frome the Grande Arche.\nLa Grande Arche de la Défense, &quot;The Great Arc of the Defense&quot;; also La Grande Arche de la Fraternité) is a monument and building in the business district of La Défense and in the commune of Puteaux.'}",66,0,0,0,1,320,48159429011,0,0,1,48.89244,0,2.236393,9619972@N08,,5679c6e48a,65535,La Grande Arche de la Fraternité (1985-89),https://live.staticflickr.com/65535/48159429011_5679c6e48a_n.jpg,3864,213,6457369,brotherhood,,
"8,10",0,2019/1/14 12:16,0,0,"{'_content': ""Bronze sculpture by Igor Mitoraj at the Allée de l'Arche at La Défense in Paris, France.""}",8,0,0,0,1,213,45841219005,0,0,1,48.895275,0,2.237144,9619972@N08,LzRzkwBUV7J7uIalmQ,bab589c2b7,7836,Icare (1999),https://live.staticflickr.com/7836/45841219005_bab589c2b7_n.jpg,17889,320,55863459,icaru,,
"5,10",0,2019/1/14 12:02,0,0,"{'_content': 'Portrait on a grave at the cemetery of Neuilly, partially Paris and Nanterre territory.'}",66,0,0,0,1,213,40672370023,0,0,1,48.894746,0,2.233089,9619972@N08,LzRzkwBUV7J7uIalmQ,f21241ae78,65535,Cimetière de Neuilly # 4,https://live.staticflickr.com/65535/40672370023_f21241ae78_n.jpg,4678,320,55863459,cemeteri,,Landmarks and Outdoors
"7,7",0,2019/1/13 21:59,0,1,"{'_content': 'A visually impaired man going up the stairs of La Grande Arche de la Défense in Paris.\n\nInstagram: <a href=""http://www.instagram.com/zellersamuel"" rel=""noreferrer nofollow"">www.instagram.com/zellersamuel</a>\nPortfolio &amp; Prints: <a href=""http://www.samuelzeller.ch/flickr"" rel=""noreferrer nofollow"">www.samuelzeller.ch</a>'}",8,0,0,0,1,320,39765959713,0,0,1,48.89243,0,2.236404,43883527@N06,a_GJ6YVQUL.FYR2hzw,bc9f4d9061,7807,"Stairs of the grande arche la défense, Paris",https://live.staticflickr.com/7807/39765959713_bc9f4d9061_n.jpg,3077,229,12523323,"stair, arch",,
"7,9",0,2019/1/12 9:25,0,0,"{'_content': 'Westworld , 2016'}",5,0,0,0,1,189,45999218574,0,0,1,48.893657,0,2.236747,17671746@N04,a_GJ6YVQUL.FYR2hzw,b7ba0cf128,4834,"""There's something I'd like you to try. It's a game. A secret. It's called the Maze.""",https://live.staticflickr.com/4834/45999218574_b7ba0cf128_n.jpg,509,320,12523323,"game, call, maze",,Arts and Entertainment
"6,8",0,2019/1/11 16:06,0,0,{'_content': 'La Défense'},8,0,0,0,1,213,45932990895,0,0,1,48.892744,0,2.235385,142995416@N07,a_GJ6YVQUL.FYR2hzw,3125a30032,7900,Une journée pluvieuse // A rainy day,https://live.staticflickr.com/7900/45932990895_3125a30032_n.jpg,6236,320,12523323,"day, day",,
"6,8",0,2019/1/11 16:06,0,0,{'_content': 'France\nLa Défense'},8,0,0,0,1,213,47027962272,0,0,1,48.892744,0,2.235385,142995416@N07,a_GJ6YVQUL.FYR2hzw,ab4a69bfe4,7887,Pluie // Rain,https://live.staticflickr.com/7887/47027962272_ab4a69bfe4_n.jpg,14983,320,12523323,"rain, rain",,
"7,7",0,2019/1/30 18:00,0,1,{'_content': ''},5,0,0,0,1,180,33054132358,0,0,1,48.892611,0,2.2355,16993543@N08,a_GJ6YVQUL.FYR2hzw,f679e633ae,4871,"Business, Grande Arche, La Défense, Courbevoie, France 2018",https://live.staticflickr.com/4871/33054132358_f679e633ae_n.jpg,2251,320,12523323,"arch, courbevoi, franc",,Landmarks and Outdoors
"7,7",0,2019/1/27 20:17,0,1,{'_content': ''},66,0,0,0,1,214,48088405137,0,0,1,48.892458,0,2.236404,52053519@N00,,9a93b155a6,65535,La Defense,https://live.staticflickr.com/65535/48088405137_9a93b155a6_n.jpg,711,320,6457369,,,
"7,6",0,2019/1/27 20:17,0,1,{'_content': ''},66,0,0,0,1,214,48088306491,0,0,1,48.891626,0,2.236812,52053519@N00,,9aff09cc10,65535,La Defense,https://live.staticflickr.com/65535/48088306491_9aff09cc10_n.jpg,1327,320,6457369,,,
"8,8",0,2019/1/27 20:17,0,1,{'_content': ''},66,0,0,0,1,214,48088345133,0,0,1,48.892811,0,2.237455,52053519@N00,,d8c39f55bb,65535,La Defense,https://live.staticflickr.com/65535/48088345133_d8c39f55bb_n.jpg,744,320,6457369,,,
"8,8",0,2019/1/27 20:17,0,1,{'_content': ''},66,0,0,0,1,214,48088306626,0,0,1,48.892811,0,2.237455,52053519@N00,,e038a35660,65535,La Defense,https://live.staticflickr.com/65535/48088306626_e038a35660_n.jpg,912,320,6457369,,,
"9,6",0,2019/1/27 0:36,0,1,{'_content': ''},5,0,0,0,1,320,46887304561,0,0,1,48.890859,1,2.23943,24798158@N05,OZm8L3lUV7LeKWG5lw,bf1ec85744,4862,Paris : Architecture Building La Défense   Perspective des tours de la banque « Société Générale » comme 2 donjons d’un château . Bank Games  of Throne ?😊 Réflexion de lumières et du ciel bleu à la Défense  Photo Smartphone »........................,https://live.staticflickr.com/4862/46887304561_bf1ec85744_n.jpg,124,320,55863561,"build, perspect, tower, quot, bank, dungeon, bank, game, throne, reflect, sky, photo, smartphon, ..................................",,
"9,3",0,2019/1/25 20:33,0,0,{'_content': 'Vedett Extra\nBrouwerij Duvel Moortgat\nBelgique\n'},5,0,0,0,1,320,45976975435,0,0,1,48.888635,0,2.238968,17671746@N04,a_GJ6YVQUL.FYR2hzw,ac78a701fe,4827,Usual suspect,https://live.staticflickr.com/4827/45976975435_ac78a701fe_n.jpg,965,213,12523323,suspect,,
"7,7",0,2019/1/25 15:07,0,0,{'_content': 'Puteaux (Hauts-de-Seine) - janvier 2019'},66,0,0,0,1,212,48300212377,0,0,1,48.892416,0,2.236479,53245654@N04,,2f6e1e15d2,65535,Parvis de la Défense,https://live.staticflickr.com/65535/48300212377_2f6e1e15d2_n.jpg,56,320,8504417,forecourt,,Landmarks and Outdoors
"10,7",0,2019/1/25 14:18,0,0,{'_content': 'Puteaux (Hauts-de-Seine) - janvier 2019'},66,0,0,0,1,212,48292911226,0,0,1,48.891809,0,2.239902,53245654@N04,,0446d7085c,65535,Parvis de la Défense,https://live.staticflickr.com/65535/48292911226_0446d7085c_n.jpg,42,320,8504417,forecourt,,Landmarks and Outdoors
"17,3",0,2019/1/25 12:21,0,0,{'_content': 'Puteaux (Hauts-de-Seine) - janvier 2019'},66,0,0,0,1,320,48293007222,0,0,1,48.888148,0,2.250609,53245654@N04,,bf73953f47,65535,Bassin Takis,https://live.staticflickr.com/65535/48293007222_bf73953f47_n.jpg,43,212,8504417,"bassin, taki",,
"15,3",0,2019/1/22 11:29,0,0,{'_content': ''},8,0,0,0,1,213,46835395442,0,0,1,48.888977,0,2.247791,98614865@N05,OZm8L3lUV7LeKWG5lw,e32d13bbd3,7914,"A bit of snow, January 22, 2019",https://live.staticflickr.com/7914/46835395442_e32d13bbd3_n.jpg,1069,320,55863561,"bit, januari",,
"2,9",0,2019/2/9 19:01,0,0,{'_content': '5th floor with a big window and a view on the Grande Arche!'},66,0,0,0,1,193,47053721881,0,0,1,48.893942,3,2.229634,89446016@N00,a_GJ6YVQUL.FYR2hzw,a7e9265dac,65535,"Room with a view, La Défense, 20190209",https://live.staticflickr.com/65535/47053721881_a7e9265dac_n.jpg,1314,320,12523323,"room, view",,
"10,6",0,2019/2/9 17:33,0,0,"{'_content': ""Young French commando's with big machine guns on patrol around the area of La Défense.""}",8,0,0,0,1,180,46339652784,0,0,1,48.890939,3,2.239998,89446016@N00,OZm8L3lUV7LeKWG5lw,dd3c490969,7869,"Commando's, La Défense, 20190209",https://live.staticflickr.com/7869/46339652784_dd3c490969_n.jpg,836,320,55863561,commando,,
"8,7",0,2019/2/9 17:22,0,0,"{'_content': ""Kids racing electric step's (as we call them) on the main square at La Défense Paris. They were everywhere.\n\nWay better than Segway's. If you've ever done a city tour on a Segway with a helmet on, you're a big LOOSER! :)""}",8,0,0,0,1,180,47063674391,0,0,1,48.892025,3,2.23753,89446016@N00,OZm8L3lUV7LeKWG5lw,24bd1dcbd4,7904,"E-scooters, La Défense, 20190209",https://live.staticflickr.com/7904/47063674391_24bd1dcbd4_n.jpg,1648,320,55863561,,,
"16,5",0,2019/2/9 16:15,0,0,{'_content': ''},66,0,0,0,1,213,49439758307,0,0,1,48.890165,0,2.24871,52981672@N05,,78d711be60,65535,L'avenir appartient aux promoteurs / the future belongs to real estate developers,https://live.staticflickr.com/65535/49439758307_78d711be60_n.jpg,850,320,8504417,"futur, estat",,
"16,5",0,2019/2/9 16:17,0,0,{'_content': ''},66,0,0,0,1,213,49871103897,0,0,1,48.890165,0,2.24871,52981672@N05,,ac37fb4ed3,65535,Logan’s Run,https://live.staticflickr.com/65535/49871103897_ac37fb4ed3_n.jpg,924,320,8504417,run,,
"7,7",0,2019/2/9 15:55,0,0,"{'_content': ""Back in the day when I was young there was no internets. So when you would travel you had books to get some information. Lonely Planets. But there was nothing in there. So if you would fly to some place, the entire thing was an adventure. You would explore some new stuff not only to yourself but you would explore stuff for mankind.\n\nNowadays I would check the internets. Oh I want to go there. I need to see that too. Your entire agenda fills up with stuff from the internets. But you're already seeing those thing, on your screen. When you are actually there its the same shit, same toilet.\n\nCouple of months ago I was at Paris La Defense and I wanted to go to city centre to see some internets shit but I sticked around La Defense. All kinds of interesting things there that I didn't check on the internets. I was exploring again. I was alive.\n\nSo.... new strategy boys and girls. I select one or two items I want to see from the internets. The remain of my time is open. Open for exploration. Open for adventures. Open for exictement. Excitment. How do you write the word GD? You see what's going on? I don't know the word not-no-mo' because my life has become too boring. <i>Excitement!</i> There, there you have it.\n\nSo forget the internets. Only LOSERS on the internets. The internets kill your brain and the peoples on the internets don't know shit. I know. Only I know. You listen to ME now. I am your Sensei. The internets have stolen my dreams. How DARE you? Terminate your internets! :)""}",66,0,0,0,1,173,48845873991,0,0,1,48.89249,3,2.236415,89446016@N00,,858d7261a8,65535,Terminate your internets,https://live.staticflickr.com/65535/48845873991_858d7261a8_n.jpg,2205,320,8504417,"termin, internet",,
"7,7",0,2019/2/9 15:57,0,0,"{'_content': ""La Défense is Europe's largest purpose-built business district. 180.000 people work here.\n\nThis square is called <i>Parvis de La Défense</i> and is 300x120m. On the right is a huge mall and on the left is a smaller one. The subway is underneath the square.\n\nIn the back you can see the Arc de Triomphe. Behind that is the Champs-Élysées, behind that is the Place De La Concorde and behind that is the Louvre, 7km from here.""}",8,0,0,0,1,213,47011109752,0,0,1,48.892378,3,2.236511,89446016@N00,a_GJ6YVQUL.FYR2hzw,19322692,7907,"Lemmings, La Défense, 20190209",https://live.staticflickr.com/7907/47011109752_0019322692_n.jpg,1538,320,12523323,lem,,
"6,7",0,2019/2/9 15:48,0,0,"{'_content': ""You can get to the roof of La Grande Arche to see the city from 110m high on the Promenade/ Sky Avenue. On display a photo gallery of many super stars. It's fantastic!""}",8,0,0,0,1,200,46339298944,0,0,1,48.892596,3,2.235449,89446016@N00,a_GJ6YVQUL.FYR2hzw,c326e48625,7832,"Photo expo II, La Grande Arche, 20190209",https://live.staticflickr.com/7832/46339298944_c326e48625_n.jpg,681,320,12523323,"photo, arch",,Retail
"6,8",0,2019/2/9 15:36,0,0,"{'_content': 'From the roof of the La Grande Arche.\n\nI drove 4 hours from Rotterdam to Paris on Saturday morning. Man, these were good hours on planet Earth. Nice flow on the E19, E17 and the <i>Autoroute du Nord</i> listening to NRJ in Belgium and Sky Rock in France.\n\nSheck Wes - Mo Bamba\n<a href=""https://www.youtube.com/watch?v=VWoIpDVkOH0"" rel=""noreferrer nofollow"">www.youtube.com/watch?v=VWoIpDVkOH0</a>\n\nNever been here before \nI\'m intrigued, I\'m unsure\nI\'m searching for more \nI\'ve got something that\'s all mine \nI\'ve got something that\'s all mine\n\nTake me somewhere I can breathe \nI\'ve got so much to see \nThis is where I want to be \nIn a place I can call mine \nIn a place I can call mine\n\nAll Saints - Pure Shores\n<a href=""https://www.youtube.com/watch?v=mDuF3q_eNHk"" rel=""noreferrer nofollow"">www.youtube.com/watch?v=mDuF3q_eNHk</a>'}",8,0,0,0,1,200,32123307907,0,0,1,48.892829,3,2.235149,89446016@N00,a_GJ6YVQUL.FYR2hzw,95c4db5775,7891,"Suede boots, La Défense, 20190209",https://live.staticflickr.com/7891/32123307907_95c4db5775_n.jpg,1107,320,12523323,boot,,Retail
"7,7",0,2019/2/9 15:23,0,0,{'_content': ''},8,0,0,0,1,190,47112389571,0,0,1,48.892291,3,2.236039,89446016@N00,a_GJ6YVQUL.FYR2hzw,02b08ece0b,7877,"Parvis de La Défense, Paris, 20190209",https://live.staticflickr.com/7877/47112389571_02b08ece0b_n.jpg,1281,320,12523323,forecourt,,Landmarks and Outdoors
"2,9",0,2019/2/9 14:58,0,0,"{'_content': '<a href=""https://youtu.be/MyrLCudmufw"" rel=""noreferrer nofollow"">youtu.be/MyrLCudmufw</a>'}",8,0,0,0,1,180,33221015278,0,0,1,48.89397,3,2.229645,89446016@N00,a_GJ6YVQUL.FYR2hzw,7186e66345,7876,"Dreams, La Défense, 20190209",https://live.staticflickr.com/7876/33221015278_7186e66345_n.jpg,1459,320,12523323,dream,,
"15,5",0,2019/2/9 10:51,0,1,{'_content': 'Assemblage de deux photos horizontales.'},8,0,0,0,1,320,46983073082,0,0,1,48.890511,0,2.247852,155503087@N08,OZm8L3lUV7LeKWG5lw,7e4c2bb7de,7898,Tour D2,https://live.staticflickr.com/7898/46983073082_7e4c2bb7de_n.jpg,366,288,55863561,tour,,Business and_Professional Services
"11,7",0,2019/2/9 10:44,0,0,"{'_content': 'Les tours Cœur Défense, Total et Areva. '}",8,0,0,0,1,213,32161116337,0,0,1,48.892523,0,2.242434,164151224@N08,a_GJ6YVQUL.FYR2hzw,bd8d3b2968,7864,Look up,https://live.staticflickr.com/7864/32161116337_bd8d3b2968_n.jpg,124,320,12523323,look,,
"4,7",0,2019/2/5 16:25,0,0,"{'_content': ""&quot;Recommencer, ce n'est pas refaire&quot; César ""}",8,0,0,0,1,283,46089638655,0,0,1,48.892602,0,2.231655,16993543@N08,iw_JQ6tUV7JvFIoe8Q,488ce42dc8,7838,"Place Ronde, La Défense, Courbevoie, France 2019",https://live.staticflickr.com/7838/46089638655_488ce42dc8_n.jpg,1605,320,55863542,"round, squar, courbevoi, franc",,
"5,7",0,2019/2/5 16:18,0,0,{'_content': ''},8,0,0,0,1,320,46121408085,0,0,1,48.892316,0,2.233405,16993543@N08,OZm8L3lUV7LeKWG5lw,5e1352d630,7863,"Détail du Belvédère, Courbevoie, France 2019",https://live.staticflickr.com/7863/46121408085_5e1352d630_n.jpg,1454,256,55863561,"detail, belveder, courbevoi, franc",,
"6,8",0,2019/2/4 16:24,0,0,{'_content': ''},5,0,0,0,1,320,47003767411,0,0,1,48.892641,0,2.235427,16993543@N08,a_GJ6YVQUL.FYR2hzw,8191d1dbe1,4903,"La Défense, Courbevoie, France 2019",https://live.staticflickr.com/4903/47003767411_8191d1dbe1_n.jpg,1731,320,12523323,"courbevoi, franc",,
"8,9",0,2019/2/3 17:18,0,0,{'_content': 'oznor'},8,0,0,0,1,320,46998410971,0,0,1,48.894402,0,2.237997,47686958@N07,LzRzkwBUV7J7uIalmQ,6f332afb77,7868,Week end à Paris,https://live.staticflickr.com/7868/46998410971_6f332afb77_n.jpg,29,268,55863459,weekend,,
"8,10",0,2019/2/3 17:17,0,0,{'_content': 'oznor'},5,0,0,0,1,320,33123038878,0,0,1,48.894802,0,2.238075,47686958@N07,LzRzkwBUV7J7uIalmQ,784b20773e,4887,Icare,https://live.staticflickr.com/4887/33123038878_784b20773e_n.jpg,70,240,55863459,icaru,,
"8,7",0,2019/2/3 16:50,0,0,{'_content': 'smacap_Bright'},8,0,0,0,1,320,32056993467,0,0,1,48.891802,0,2.237552,47686958@N07,OZm8L3lUV7LeKWG5lw,73d5661ebd,7804,Week end à Paris,https://live.staticflickr.com/7804/32056993467_73d5661ebd_n.jpg,51,240,55863561,weekend,,
"8,7",0,2019/2/3 16:50,0,0,{'_content': 'smacap_Bright'},5,0,0,0,1,320,32057011437,0,0,1,48.891802,0,2.237552,47686958@N07,OZm8L3lUV7LeKWG5lw,f77f8d79d8,4912,"La Défense, Paris",https://live.staticflickr.com/4912/32057011437_f77f8d79d8_n.jpg,125,240,55863561,,,
"7,7",0,2019/2/3 15:09,0,0,{'_content': ''},8,0,0,0,1,213,33122369638,0,0,1,48.892155,0,2.235921,36163633@N08,a_GJ6YVQUL.FYR2hzw,6566bdbc7a,7904,Esplanade de la Défense,https://live.staticflickr.com/7904/33122369638_6566bdbc7a_n.jpg,61,320,12523323,esplanad,,
"18,2",0,2019/2/2 11:57,0,0,{'_content': 'Hauts de Seine'},8,0,0,0,1,181,46549260134,0,0,1,48.888036,0,2.251436,137319303@N05,LzRzkwBUV7J7uIalmQ,3d8525dd4d,7828,Paris,https://live.staticflickr.com/7828/46549260134_3d8525dd4d_n.jpg,57,320,55863459,,,
"9,8",0,2019/2/18 17:24,0,0,{'_content': ''},8,0,0,0,1,229,46254193095,0,0,1,48.892741,0,2.239363,16993543@N08,OZm8L3lUV7LeKWG5lw,7db98184d8,7836,"CNIT, La Défense, Courbevoie, France 2019",https://live.staticflickr.com/7836/46254193095_7db98184d8_n.jpg,1497,320,55863561,"cnit, courbevoi, franc",,Retail
"9,6",0,2019/2/18 7:57,0,0,{'_content': 'Otis Redding'},8,0,0,0,1,213,32212204077,0,0,1,48.89171,0,2.23885,17671746@N04,OZm8L3lUV7LeKWG5lw,c639e29519,7885,"""Sittin' in the mornin' sun...""",https://live.staticflickr.com/7885/32212204077_c639e29519_n.jpg,464,320,55863561,"sittin, mornin, sun",,
"10,6",0,2019/2/18 7:55,0,0,{'_content': '&quot;Far gone Now&quot; (Vaya con Dios)'},8,0,0,0,1,193,47083145422,0,0,1,48.891358,0,2.239923,17671746@N04,OZm8L3lUV7LeKWG5lw,73bd33bfef,7833,"""He's somewhere across the border, in some lonely little town""",https://live.staticflickr.com/7833/47083145422_73bd33bfef_n.jpg,983,320,55863561,"border, lone, town",,
"7,8",0,2019/2/17 14:47,0,0,{'_content': ''},66,0,0,0,1,214,51167305015,0,0,1,48.892677,0,2.236157,136460875@N03,,3d6e0292a1,65535,Paris 2019,https://live.staticflickr.com/65535/51167305015_3d6e0292a1_n.jpg,29,320,8504417,,,
"6,7",0,2019/2/15 11:48,0,0,{'_content': ''},66,0,0,0,1,320,49736980353,0,0,1,48.892069,4,2.235452,36521984920@N01,,b034ccf2fd,65535,9,https://live.staticflickr.com/65535/49736980353_b034ccf2fd_n.jpg,856,240,8504417,,,
"15,4",0,2019/2/13 22:24,0,0,"{'_content': 'Paris La Défense\n\n<a href=""https://www.ladefense.fr/fr/oeuvres-d-art/le-moretti"" rel=""noreferrer nofollow"">www.ladefense.fr/fr/oeuvres-d-art/le-moretti</a>\n'}",8,0,0,0,1,213,46222953365,0,0,1,48.889121,0,2.247712,50306446@N08,OZm8L3lUV7LeKWG5lw,10afe5bef4,7893,Le Moretti,https://live.staticflickr.com/7893/46222953365_10afe5bef4_n.jpg,3257,320,55863561,,,
"5,5",0,2019/2/13 21:21,0,0,{'_content': 'La Défense Paris'},8,0,0,0,1,213,46813775964,0,0,1,48.890814,0,2.233196,50306446@N08,a_GJ6YVQUL.FYR2hzw,1fb6012498,7858,Parallélépipède,https://live.staticflickr.com/7858/46813775964_1fb6012498_n.jpg,2560,320,12523323,parallelepip,,
"5,6",0,2019/2/13 21:14,0,0,"{'_content': 'Japan Bridge\nLa Défense, Paris'}",66,0,0,0,1,213,49844134268,0,0,1,48.891485,0,2.232831,50306446@N08,,f95afd2066,65535,Passage,https://live.staticflickr.com/65535/49844134268_f95afd2066_n.jpg,7907,320,8504417,passag,,Travel and Transportation
